"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01518","FISKDALE, MA",,"G",497,"G",4567,"G",20484,63,"FISKDALE","MA","WORCESTER"
"01519","GRAFTON, MA",,"J",1267,"J",13725,"J",58429,94,"GRAFTON","MA","WORCESTER"
"01520","HOLDEN, MA",,"G",2904,"G",25408,"G",114085,271,"HOLDEN","MA","WORCESTER"
"01521","HOLLAND, MA",,"H",61,"G",426,"G",1644,21,"HOLLAND","MA","HAMPDEN"
"01522","JEFFERSON, MA",,"H",96,"G",660,"G",3870,30,"JEFFERSON","MA","WORCESTER"
"01523","LANCASTER, MA",,"G",1841,"H",19259,"H",82542,120,"LANCASTER","MA","WORCESTER"
"01524","LEICESTER, MA",,"G",1329,"G",8454,"G",37067,107,"LEICESTER","MA","WORCESTER"
"01525","LINWOOD, MA",,"H",171,"G",1314,"G",6462,22,"LINWOOD","MA","WORCESTER"
"01526","MANCHAUG, MA",,"H",56,"G",411,"G",1880,11,"MANCHAUG","MA","WORCESTER"
"01527","MILLBURY, MA",,"G",4319,"G",36679,"G",166731,292,"MILLBURY","MA","WORCESTER"
"01529","MILLVILLE, MA",,"H",100,"G",666,"G",3258,33,"MILLVILLE","MA","WORCESTER"
"01531","NEW BRAINTREE, MA",,"J",29,"J",162,"H",1238,18,"NEW BRAINTREE","MA","WORCESTER"
"01532","NORTHBOROUGH, MA",,"G",8523,"G",96397,"G",394168,494,"NORTHBOROUGH","MA","WORCESTER"
"01534","NORTHBRIDGE, MA",,"G",787,"G",7420,"G",33861,64,"NORTHBRIDGE","MA","WORCESTER"
"01535","NORTH BROOKFIELD, MA",,"H",717,"H",7844,"H",31104,76,"NORTH BROOKFIELD","MA","WORCESTER"
"01536","NORTH GRAFTON, MA",,"H",1774,"H",23452,"H",101310,144,"NORTH GRAFTON","MA","WORCESTER"
"01537","NORTH OXFORD, MA",,"G",793,"G",8205,"G",37080,63,"NORTH OXFORD","MA","WORCESTER"
"01538","NORTH UXBRIDGE, MA",,"J",107,"J",907,"J",4333,17,"NORTH UXBRIDGE","MA","WORCESTER"
"01540","OXFORD, MA",,"H",4185,"H",68660,"H",229711,222,"OXFORD","MA","WORCESTER"
"01541","PRINCETON, MA",,"H",957,"H",4122,"H",18395,71,"PRINCETON","MA","WORCESTER"
"01542","ROCHDALE, MA",,"H",599,"H",8969,"H",37639,35,"ROCHDALE","MA","WORCESTER"
"01543","RUTLAND, MA",,"H",1009,"H",8239,"H",35799,120,"RUTLAND","MA","WORCESTER"
"01545","SHREWSBURY, MA",,"G",11210,"G",114097,"G",494640,806,"SHREWSBURY","MA","WORCESTER"
