address,link,rest_num
64 4th Place Brooklyn NY,https://www.yelp.com/search?find_loc=64 4th Place Brooklyn NY&cflt=restaurants,238
305 East 95th Street Manhattan NY,https://www.yelp.com/search?find_loc=305 East 95th Street Manhattan NY&cflt=restaurants,565
426 63rd Street Brooklyn NY,https://www.yelp.com/search?find_loc=426 63rd Street Brooklyn NY&cflt=restaurants,452
496 Bergen Street Brooklyn NY,https://www.yelp.com/search?find_loc=496 Bergen Street Brooklyn NY&cflt=restaurants,588
425 East 63rd Street New York NY,https://www.yelp.com/search?find_loc=425 East 63rd Street New York NY&cflt=restaurants,870
283-333 Greene Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=283-333 Greene Avenue Brooklyn NY&cflt=restaurants,336
15330 89th Avenue Queens NY,https://www.yelp.com/search?find_loc=15330 89th Avenue Queens NY&cflt=restaurants,284
143 Woodbine Street Brooklyn NY,https://www.yelp.com/search?find_loc=143 Woodbine Street Brooklyn NY&cflt=restaurants,369
2552 38th Street Astoria NY,https://www.yelp.com/search?find_loc=2552 38th Street Astoria NY&cflt=restaurants,565
426 Vanderbilt Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=426 Vanderbilt Avenue Brooklyn NY&cflt=restaurants,509
42 80th Street Elmhurst NY,https://www.yelp.com/search?find_loc=42 80th Street Elmhurst NY&cflt=restaurants,571
2035 Walton Avenue Bronx NY,https://www.yelp.com/search?find_loc=2035 Walton Avenue Bronx NY&cflt=restaurants,267
265 East 66th Street New York NY,https://www.yelp.com/search?find_loc=265 East 66th Street New York NY&cflt=restaurants,997
26 Broadway Brooklyn NY,https://www.yelp.com/search?find_loc=26 Broadway Brooklyn NY&cflt=restaurants,341
2075 East 16th Street Brooklyn NY,https://www.yelp.com/search?find_loc=2075 East 16th Street Brooklyn NY&cflt=restaurants,192
340 East 52nd Street Manhattan NY,https://www.yelp.com/search?find_loc=340 East 52nd Street Manhattan NY&cflt=restaurants,1523
51 East 63rd Street New York NY,https://www.yelp.com/search?find_loc=51 East 63rd Street New York NY&cflt=restaurants,1330
3547 34th Street Astoria NY,https://www.yelp.com/search?find_loc=3547 34th Street Astoria NY&cflt=restaurants,416
3172 31st Street Astoria NY,https://www.yelp.com/search?find_loc=3172 31st Street Astoria NY&cflt=restaurants,589
88 Jane Street Manhattan NY,https://www.yelp.com/search?find_loc=88 Jane Street Manhattan NY&cflt=restaurants,1072
57 Jane Street Manhattan NY,https://www.yelp.com/search?find_loc=57 Jane Street Manhattan NY&cflt=restaurants,1228
91 East 208th Street Bronx NY,https://www.yelp.com/search?find_loc=91 East 208th Street Bronx NY&cflt=restaurants,133
946 Bronx Park South Bronx NY,https://www.yelp.com/search?find_loc=946 Bronx Park South Bronx NY&cflt=restaurants,183
405 Bainbridge Street Brooklyn NY,https://www.yelp.com/search?find_loc=405 Bainbridge Street Brooklyn NY&cflt=restaurants,196
69 Bond Street Brooklyn NY,https://www.yelp.com/search?find_loc=69 Bond Street Brooklyn NY&cflt=restaurants,622
