,address,days_on_trulia,elementary_school_count,high_school_count,middle_school_count,pets_allowed,price,sqft,url,zip_code,school_count,evac,guarantor,storage,garage,deck,elevator,dishwasher,pets,fios available,live in super,fitness center,washing machine,dryer,concierge,balcony,air conditioning,flooring: hardwood,recreation facilities,garden,pied a terre,childrens playroom,terrace,courtyard,pool,furnished,fireplace,sublets,valet parking,off-street parking,cable tv ready,board approval required,parents,co purchase,leed registered,microwave oven
1058,"310 Riverside Drive, Manhattan, NY",15,27,6,14,1,2950,,https://www.trulia.com/p/ny/manhattan/310-riverside-dr-1014-manhattan-ny-10025--2174155535,10025,47,,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1059,"951 Amsterdam Avenue, Manhattan, NY",15,27,6,14,0,1895,,https://www.trulia.com/p/ny/manhattan/951-amsterdam-ave-4d-manhattan-ny-10025--2171785590,10025,47,,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"301 East 79th Street, New York, NY",2,30,7,19,0,2995,625,https://www.trulia.com/p/ny/new-york/301-e-79th-st-5e-new-york-ny-10075--2175572389,10075,56,,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1060,"322 East 90th Street, Manhattan, NY",15,27,8,18,0,2100,,https://www.trulia.com/p/ny/manhattan/322-e-90th-st-4b-manhattan-ny-10128--2173814109,10128,53,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,"60 East 8th Street, Manhattan, NY",15,43,13,19,0,6500,,https://www.trulia.com/p/ny/manhattan/60-e-8th-st-23n-manhattan-ny-10003--2174176614,10003,75,,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,"422 East 73rd Street, Manhattan, NY",15,32,8,19,0,2100,,https://www.trulia.com/p/ny/manhattan/422-e-73rd-st-2d-manhattan-ny-10021--2174143392,10021,59,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,"1407 2nd Avenue, Manhattan, NY",15,30,9,21,0,2400,,https://www.trulia.com/p/ny/manhattan/1407-2nd-ave-4bb-manhattan-ny-10021--2351497689,10021,60,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,"91 Christopher Street, Manhattan, NY",15,44,17,20,0,2928,,https://www.trulia.com/p/ny/manhattan/91-christopher-st-17r-manhattan-ny-10014--2351466974,10014,81,5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,"200 East 61st Street, New York, NY",15,38,10,22,0,5500,848,https://www.trulia.com/p/ny/new-york/200-e-61st-st-41d-new-york-ny-10065--2202784382,10065,70,,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1066,"171 East 84th Street, Manhattan, NY",15,29,7,19,1,3400,631,https://www.trulia.com/p/ny/manhattan/171-e-84th-st-14f-manhattan-ny-10028--2088887274,10028,55,,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1067,"15 Park Avenue, Manhattan, NY",15,42,14,23,0,3695,,https://www.trulia.com/p/ny/manhattan/15-park-ave-15d-manhattan-ny-10016--2172102649,10016,79,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1068,"583 West 215th Street, Manhattan, NY",2,23,6,15,0,2000,,https://www.trulia.com/p/ny/manhattan/583-w-215th-st-a1-manhattan-ny-10034--2351990004,10034,44,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,"220 Madison Avenue, Manhattan, NY",15,41,13,23,0,4000,850,https://www.trulia.com/p/ny/manhattan/220-madison-ave-8b-manhattan-ny-10016--2174707992,10016,77,,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,"15900 Riverside Drive West, Manhattan, NY",2,18,5,9,1,2495,,https://www.trulia.com/p/ny/manhattan/15900-riverside-dr-w-7e70-manhattan-ny-10032--2351987960,10032,32,,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1070,"420 West 25th Street, Manhattan, NY",15,44,16,23,1,5495,"1,050",https://www.trulia.com/p/ny/manhattan/420-w-25th-st-6b-manhattan-ny-10001--2088807619,10001,83,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1071,"316 East 82nd Street, Manhattan, NY",15,30,7,19,0,2275,,https://www.trulia.com/p/ny/manhattan/316-e-82nd-st-2fe-manhattan-ny-10028--2171888735,10028,56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,"1 University Place, Manhattan, NY",15,43,13,19,0,5695,825,https://www.trulia.com/p/ny/manhattan/1-university-pl-17g-manhattan-ny-10003--2171902633,10003,75,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,"402 East 83rd Street, Manhattan, NY",15,30,7,19,0,3100,,https://www.trulia.com/p/ny/manhattan/402-e-83rd-st-5a-manhattan-ny-10028--2175500955,10028,56,,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1074,"331 East 5th Street, Manhattan, NY",15,40,13,17,0,2695,,https://www.trulia.com/p/ny/manhattan/331-e-5th-st-2-f-manhattan-ny-10003--2338071417,10003,70,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,"953 Columbus Avenue, Manhattan, NY",15,27,6,14,0,1995,,https://www.trulia.com/p/ny/manhattan/953-columbus-ave-1sw-manhattan-ny-10025--2351490799,10025,47,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
